Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
leezGrowLightT1,blocks,Block,,,,Leez Grow Light - Tier 1,,,,,,,,,,,,,
leezGrowLightT1Desc,blocks,Block,,,,Powered grow light. Covers a 5x5 farm-plot area when mounted 1-10 blocks above the farm plots. Tier 1: 1.2x crop growth speed while powered and switched on.,,,,,,,,,,,,,
leezGrowLightUnlockT1,progression,Progression,,,,Leez Grow Light Tier 1 (10 Wiring 101),,,,,,,,,,,,,
leezGrowLightT2,blocks,Block,,,,Leez Grow Light - Tier 2,,,,,,,,,,,,,
leezGrowLightT2Desc,blocks,Block,,,,Powered grow light. Covers a 5x5 farm-plot area when mounted 1-10 blocks above the farm plots. Tier 2: 1.3x crop growth speed while powered and switched on.,,,,,,,,,,,,,
leezGrowLightUnlockT2,progression,Progression,,,,Leez Grow Light Tier 2 (20 Wiring 101),,,,,,,,,,,,,
leezGrowLightT3,blocks,Block,,,,Leez Grow Light - Tier 3,,,,,,,,,,,,,
leezGrowLightT3Desc,blocks,Block,,,,Powered grow light. Covers a 5x5 farm-plot area when mounted 1-10 blocks above the farm plots. Tier 3: 1.4x crop growth speed while powered and switched on.,,,,,,,,,,,,,
leezGrowLightUnlockT3,progression,Progression,,,,Leez Grow Light Tier 3 (30 Wiring 101),,,,,,,,,,,,,
leezGrowLightT4,blocks,Block,,,,Leez Grow Light - Tier 4,,,,,,,,,,,,,
leezGrowLightT4Desc,blocks,Block,,,,Powered grow light. Covers a 5x5 farm-plot area when mounted 1-10 blocks above the farm plots. Tier 4: 1.5x crop growth speed while powered and switched on.,,,,,,,,,,,,,
leezGrowLightUnlockT4,progression,Progression,,,,Leez Grow Light Tier 4 (45 Wiring 101),,,,,,,,,,,,,
leezGrowLightT5,blocks,Block,,,,Leez Grow Light - Tier 5,,,,,,,,,,,,,
leezGrowLightT5Desc,blocks,Block,,,,Powered grow light. Covers a 5x5 farm-plot area when mounted 1-10 blocks above the farm plots. Tier 5: 1.6x crop growth speed while powered and switched on.,,,,,,,,,,,,,
leezGrowLightUnlockT5,progression,Progression,,,,Leez Grow Light Tier 5 (60 Wiring 101),,,,,,,,,,,,,
leezGrowLightT6,blocks,Block,,,,Leez Grow Light - Tier 6,,,,,,,,,,,,,
leezGrowLightT6Desc,blocks,Block,,,,Powered grow light. Covers a 5x5 farm-plot area when mounted 1-10 blocks above the farm plots. Tier 6: 4.0x crop growth speed while powered and switched on.,,,,,,,,,,,,,
leezGrowLightUnlockT6,progression,Progression,,,,Leez Grow Light Tier 6 (75 Wiring 101),,,,,,,,,,,,,
blockcommand_growlightcolour,blocks,Block,,,,Grow light colour,,,,,,,,,,,,,
blockcommand_growlightcolour_blue,blocks,Block,,,,Grow light colour: Blue,,,,,,,,,,,,,
blockcommand_growlightcolour_green,blocks,Block,,,,Grow light colour: Green,,,,,,,,,,,,,
blockcommand_growlightcolour_red,blocks,Block,,,,Grow light colour: Red,,,,,,,,,,,,,
blockcommand_growlightcolour_purple,blocks,Block,,,,Grow light colour: Purple,,,,,,,,,,,,,
blockcommand_growlightcolour_white,blocks,Block,,,,Grow light colour: White,,,,,,,,,,,,,
blockcommand_growlightcolour_yellow,blocks,Block,,,,Grow light colour: Yellow,,,,,,,,,,,,,
blockcommand_growlightbrightness,blocks,Block,,,,Grow light brightness,,,,,,,,,,,,,
blockcommand_growlightbrightness_dim,blocks,Block,,,,Grow light brightness: Dim,,,,,,,,,,,,,
blockcommand_growlightbrightness_normal,blocks,Block,,,,Grow light brightness: Normal,,,,,,,,,,,,,
blockcommand_growlightbrightness_bright,blocks,Block,,,,Grow light brightness: Bright,,,,,,,,,,,,,
blockcommand_growlightbrightness_verybright,blocks,Block,,,,Grow light brightness: Very Bright,,,,,,,,,,,,,
blockcommand_growlightbrightness_maximum,blocks,Block,,,,Grow light brightness: Maximum,,,,,,,,,,,,,
